ST,INSTRUMENT_ID,QUESTION,ANSWER_ID,ANSWER_TEXT,ESTIMATE_PERCENTAGE,SE
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",1,"Paycheck Protection Program (PPP), first time applicant",25.30%,1.46%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",2,"Paycheck Protection Program (PPP), second time applicant",39.30%,1.15%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",3,Paycheck Protection Program (PPP) loan forgiveness,23.30%,1.37%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",4,Economic Injury Disaster Loans (EIDL),9.80%,1.58%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",5,Paid Sick Leave and Paid Family Leave Credit,6.30%,0.92%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",6,Employee Retention and Rehiring Credit,3.10%,0.47%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",7,Other Federal programs,1.60%,0.67%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",8,State or local government programs,5.30%,0.53%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",9,Banks or other financial institutions,3.30%,0.77%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",10,Owners,6.90%,1.29%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",11,Family or friends,1.70%,0.51%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",12,Other sources,1.70%,0.41%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",13,"This business has not requested financial assistance from any source since December 27, 2020",42.00%,1.39%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",1,Paycheck Protection Program (PPP),40.60%,1.53%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",2,Paycheck Protection Program (PPP) loan forgiveness,20.00%,1.45%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",3,Economic Injury Disaster Loans (EIDL),6.60%,1.06%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",4,Paid Sick Leave and Paid Family Leave Credit,4.50%,0.78%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",5,Employee Retention and Rehiring Credit,1.20%,0.48%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",6,Other Federal programs,1.50%,0.54%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",7,State or local government programs,3.30%,0.53%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",8,Banks or other financial institutions,1.90%,0.58%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",9,Owners,6.60%,0.88%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",10,Family or friends,1.20%,0.43%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",12,"This business has not received financial assistance from any source since December 27, 2020",50.10%,1.51%
IL,17,"In the next 6 months, do you think this business will have business travel expenditures for air, rail, car rental, or lodging?",1,Yes,27.40%,1.45%
IL,17,"In the next 6 months, do you think this business will have business travel expenditures for air, rail, car rental, or lodging?",2,No,39.00%,1.85%
IL,17,"In the next 6 months, do you think this business will have business travel expenditures for air, rail, car rental, or lodging?",3,"Not applicable, this business does not usually have business travel expenditures.",33.60%,1.16%
IL,18,"In the next 6 months, do you think this business will need to do any of the following?",1,Obtain financial assistance or additional capital,21.30%,0.55%
IL,18,"In the next 6 months, do you think this business will need to do any of the following?",2,Identify new supply chain options,11.20%,1.41%
IL,18,"In the next 6 months, do you think this business will need to do any of the following?",3,Develop online sales or websites,12.20%,1.68%
IL,18,"In the next 6 months, do you think this business will need to do any of the following?",4,Increase marketing or sales,32.60%,2.08%
IL,18,"In the next 6 months, do you think this business will need to do any of the following?",5,Learn how to better provide for the safety of customers and employees,13.10%,2.01%
IL,18,"In the next 6 months, do you think this business will need to do any of the following?",6,Identify and hire new employees,28.30%,1.80%
IL,18,"In the next 6 months, do you think this business will need to do any of the following?",7,Make a capital expenditure,11.70%,1.01%
IL,18,"In the next 6 months, do you think this business will need to do any of the following?",8,Cancel or postpone a planned capital expenditure,9.40%,0.77%
IL,18,"In the next 6 months, do you think this business will need to do any of the following?",9,Permanently close this business,2.20%,0.51%
IL,18,"In the next 6 months, do you think this business will need to do any of the following?",10,None of the above,34.70%,2.31%
IL,19,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",2,2-3 months,4.50%,0.67%
IL,19,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",3,4-6 months,14.70%,1.08%
IL,19,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",4,More than 6 months,46.50%,1.71%
IL,19,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",5,I do not believe this business will return to its normal level of operations.,8.50%,1.12%
IL,19,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",6,This business has permanently closed.,1.60%,0.39%
IL,19,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",7,There has been little or no effect on this business's normal level of operations.,15.40%,1.32%
IL,19,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",8,This business has returned to its normal level of operations.,8.30%,1.31%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",1,Large negative effect,25.90%,2.28%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",2,Moderate negative effect,42.60%,2.26%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",3,Little or no effect,25.40%,2.01%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",4,Moderate positive effect,5.20%,0.81%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",5,Large positive effect,0.90%,0.23%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",1,$0 - $500,4.10%,0.98%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",2,"$501 - $2,500",1.30%,0.43%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",3,"$2,501 - $5,000",5.30%,0.79%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",4,"$5,001 - $15,000",8.10%,1.58%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",5,"$15,001 - $50,000",18.80%,0.89%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",6,"$50,001 - $125,000",16.90%,1.50%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",7,"$125,001 - $200,000",10.10%,1.07%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",8,"$200,001 - $500,000",13.50%,1.54%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",9,"$500,001 or more",13.90%,0.75%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",10,Don't know,8.10%,1.44%
IL,4,"In the last week, did this business have a change in operating revenues/sales/receipts, not including any financial assistance or loans?",1,"Yes, increased",4.40%,0.41%
IL,4,"In the last week, did this business have a change in operating revenues/sales/receipts, not including any financial assistance or loans?",2,"Yes, decreased",36.90%,1.49%
IL,4,"In the last week, did this business have a change in operating revenues/sales/receipts, not including any financial assistance or loans?",3,No change,58.80%,1.72%
IL,5,"In the last week, did this business do any of the following?",2,Temporarily close a location,3.70%,0.81%
IL,5,"In the last week, did this business do any of the following?",3,Permanently close a location,1.50%,0.49%
IL,5,"In the last week, did this business do any of the following?",4,None of the above,94.70%,0.99%
IL,6,"In the last week, did this business have a change in the number of paid employees?",1,"Yes, increased",3.60%,0.68%
IL,6,"In the last week, did this business have a change in the number of paid employees?",2,"Yes, decreased",13.90%,1.02%
IL,6,"In the last week, did this business have a change in the number of paid employees?",3,No change,82.50%,1.30%
IL,7,"In the last week, did this business have a change in the total number of hours worked by paid employees?",1,"Yes, increased",2.70%,0.56%
IL,7,"In the last week, did this business have a change in the total number of hours worked by paid employees?",2,"Yes, decreased",27.40%,1.18%
IL,7,"In the last week, did this business have a change in the total number of hours worked by paid employees?",3,No change,69.90%,1.37%
IL,8,"In the last week, did this business require employees to have proof of COVID-19 vaccination before physically coming to work?",1,Yes,15.80%,1.34%
IL,8,"In the last week, did this business require employees to have proof of COVID-19 vaccination before physically coming to work?",2,No,65.10%,1.59%
IL,8,"In the last week, did this business require employees to have proof of COVID-19 vaccination before physically coming to work?",3,"Not applicable, this business did not have employees physically coming to work in the last week.",19.10%,1.40%
IL,9,"In the last week, did this business require employees to test negative for COVID-19 before physically coming to work?",1,Yes,14.30%,1.65%
IL,9,"In the last week, did this business require employees to test negative for COVID-19 before physically coming to work?",2,No,66.10%,2.44%
IL,9,"In the last week, did this business require employees to test negative for COVID-19 before physically coming to work?",3,"Not applicable, this business did not have employees physically coming to work in the last week.",19.50%,1.64%
IL,10,"In the last week, did this business have difficulties hiring paid employees?",1,Yes,26.60%,1.96%
IL,10,"In the last week, did this business have difficulties hiring paid employees?",2,No,28.70%,1.76%
IL,10,"In the last week, did this business have difficulties hiring paid employees?",3,Not applicable,44.70%,1.99%
IL,11,"In the last week, did this business have any of the following?",1,Domestic supplier delays,41.30%,1.63%
IL,11,"In the last week, did this business have any of the following?",2,Foreign supplier delays,14.80%,1.39%
IL,11,"In the last week, did this business have any of the following?",3,Difficulty locating alternate domestic suppliers,17.80%,1.11%
IL,11,"In the last week, did this business have any of the following?",4,Difficulty locating alternate foreign suppliers,6.10%,0.65%
IL,11,"In the last week, did this business have any of the following?",5,Production delays at this business,12.60%,0.91%
IL,11,"In the last week, did this business have any of the following?",6,Delays in delivery / shipping to customers,24.50%,1.50%
IL,11,"In the last week, did this business have any of the following?",7,None of the above,50.90%,2.01%
IL,12,How would you describe the current availability of cash on hand for this business?,1,1-7 days of business operations,7.50%,0.81%
IL,12,How would you describe the current availability of cash on hand for this business?,2,1-2 weeks of business operations,8.90%,1.13%
IL,12,How would you describe the current availability of cash on hand for this business?,3,3-4 weeks of business operations,14.10%,0.86%
IL,12,How would you describe the current availability of cash on hand for this business?,4,1-2 months of business operations,23.40%,1.89%
IL,12,How would you describe the current availability of cash on hand for this business?,5,3 or more months of business operations,27.70%,1.31%
IL,12,How would you describe the current availability of cash on hand for this business?,6,No cash available for business operations,3.70%,0.59%
IL,12,How would you describe the current availability of cash on hand for this business?,7,Don't know,14.70%,1.50%
IL,13,"The White House declared a national emergency because of the Coronavirus pandemic on March 13, 2020. Comparing now to what was normal before March 13, 2020, how has the number of paid employees at this business changed?",2,Moderate increase in number of paid employees,8.20%,1.24%
IL,13,"The White House declared a national emergency because of the Coronavirus pandemic on March 13, 2020. Comparing now to what was normal before March 13, 2020, how has the number of paid employees at this business changed?",3,Little or no change in number of paid employees,59.90%,2.01%
IL,13,"The White House declared a national emergency because of the Coronavirus pandemic on March 13, 2020. Comparing now to what was normal before March 13, 2020, how has the number of paid employees at this business changed?",4,Moderate decrease in number of paid employees,21.10%,1.49%
IL,13,"The White House declared a national emergency because of the Coronavirus pandemic on March 13, 2020. Comparing now to what was normal before March 13, 2020, how has the number of paid employees at this business changed?",5,Large decrease in number of paid employees,10.00%,0.67%
IL,14,"Comparing now to what was normal before March 13, 2020, how has the number of hours paid employees worked from home changed?",1,Large increase in number of hours worked from home,9.50%,0.52%
IL,14,"Comparing now to what was normal before March 13, 2020, how has the number of hours paid employees worked from home changed?",2,Moderate increase in number of hours worked from home,10.90%,1.35%
IL,14,"Comparing now to what was normal before March 13, 2020, how has the number of hours paid employees worked from home changed?",3,Little or no change in number of hours worked from home,71.80%,2.32%
IL,14,"Comparing now to what was normal before March 13, 2020, how has the number of hours paid employees worked from home changed?",4,Moderate decrease in number of hours worked from home,5.00%,1.05%
IL,14,"Comparing now to what was normal before March 13, 2020, how has the number of hours paid employees worked from home changed?",5,Large decrease in number of hours worked from home,2.90%,1.00%
IL,15,"Comparing now to what was normal before March 13, 2020, how has demand for this business's goods or services changed?",1,Large increase in demand,4.40%,0.57%
IL,15,"Comparing now to what was normal before March 13, 2020, how has demand for this business's goods or services changed?",2,Moderate increase in demand,23.80%,1.71%
IL,15,"Comparing now to what was normal before March 13, 2020, how has demand for this business's goods or services changed?",3,Little or no change in demand,36.60%,1.28%
IL,15,"Comparing now to what was normal before March 13, 2020, how has demand for this business's goods or services changed?",4,Moderate decrease in demand,22.70%,1.81%
IL,15,"Comparing now to what was normal before March 13, 2020, how has demand for this business's goods or services changed?",5,Large decrease in demand,12.40%,1.35%
IL,16,"Comparing now to what was normal before March 13, 2020, how have the prices this business pays for goods and services changed?",1,Large increase in prices,36.00%,1.62%
IL,16,"Comparing now to what was normal before March 13, 2020, how have the prices this business pays for goods and services changed?",2,Moderate increase in prices,38.70%,2.10%
IL,16,"Comparing now to what was normal before March 13, 2020, how have the prices this business pays for goods and services changed?",3,Little or no change in prices,23.10%,2.21%
IL,17,"Comparing now to what was normal before March 13, 2020, has this business done any of the following?",1,Adopted or expanded use of digital technologies,28.80%,1.60%
IL,17,"Comparing now to what was normal before March 13, 2020, has this business done any of the following?",2,Changed management practices,24.10%,1.60%
IL,17,"Comparing now to what was normal before March 13, 2020, has this business done any of the following?",3,Changed business strategies,29.50%,1.72%
IL,17,"Comparing now to what was normal before March 13, 2020, has this business done any of the following?",4,Introduced new goods or services,13.80%,2.12%
IL,17,"Comparing now to what was normal before March 13, 2020, has this business done any of the following?",5,Improved existing goods or services,15.50%,0.91%
IL,17,"Comparing now to what was normal before March 13, 2020, has this business done any of the following?",6,Improved methods of producing goods or services,12.20%,1.35%
IL,17,"Comparing now to what was normal before March 13, 2020, has this business done any of the following?",7,"Improved methods of logistics, delivery, or distribution",10.40%,1.08%
IL,17,"Comparing now to what was normal before March 13, 2020, has this business done any of the following?",8,This business has not made any of these changes,46.70%,1.70%
IL,18,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",1,Paycheck Protection Program (PPP) loan forgiveness,55.50%,2.12%
IL,18,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",2,Economic Injury Disaster Loans (EIDL),12.30%,1.60%
IL,18,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",5,Other Federal programs,5.70%,0.51%
IL,18,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",6,Other sources,4.10%,0.46%
IL,18,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",7,"This business has not received financial assistance from any source since December 27, 2020.",41.20%,2.19%
IL,19,"In the next 6 months, do you think this business will have business travel expenditures for air, rail, car rental, or lodging?",1,Yes,34.80%,1.46%
IL,19,"In the next 6 months, do you think this business will have business travel expenditures for air, rail, car rental, or lodging?",2,No,31.80%,1.23%
IL,19,"In the next 6 months, do you think this business will have business travel expenditures for air, rail, car rental, or lodging?",3,"Not applicable, this business does not usually have business travel expenditures.",33.50%,1.04%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",1,Obtain financial assistance or additional capital,16.50%,1.43%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",2,Identify new supply chain options,22.20%,1.32%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",3,Develop online sales or websites,11.40%,1.25%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",4,Increase marketing or sales,28.20%,1.51%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",5,Identify and hire new employees,41.90%,1.71%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",6,Make a capital expenditure,15.20%,0.88%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",7,Cancel or postpone a planned capital expenditure,10.10%,1.15%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",8,Identify potential markets for exporting products or services,3.90%,0.98%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",9,Permanently close this business,5.50%,1.27%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",10,None of the above,30.70%,1.66%
IL,21,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",2,2-3 months,3.00%,0.77%
IL,21,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",3,4-6 months,8.80%,1.27%
IL,21,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",4,More than 6 months,36.60%,1.63%
IL,21,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",5,I do not believe this business will return to its normal level of operations.,14.80%,1.13%
IL,21,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",6,This business has permanently closed.,1.80%,0.59%
IL,21,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",7,There has been little or no effect on this business's normal level of operations.,19.00%,1.55%
IL,21,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",8,This business has returned to its normal level of operations.,15.80%,0.84%
IL,1,"Overall, how has this business been affected by the COVID-19 pandemic?",1,Large negative effect,51.20%,1.35%
IL,1,"Overall, how has this business been affected by the COVID-19 pandemic?",2,Moderate negative effect,39.50%,1.64%
IL,1,"Overall, how has this business been affected by the COVID-19 pandemic?",3,Little or no effect,6.50%,1.03%
IL,1,"Overall, how has this business been affected by the COVID-19 pandemic?",4,Moderate positive effect,1.60%,0.39%
IL,2,"In the last week, did this business experience a change in operating revenues?",1,"Yes, increased",6.80%,0.80%
IL,2,"In the last week, did this business experience a change in operating revenues?",2,"Yes, decreased",70.80%,1.49%
IL,2,"In the last week, did this business experience a change in operating revenues?",3,No,22.50%,1.20%
IL,3,"In the last week, what was the total operating revenue for this business?",1,$0 - $500,19.80%,1.22%
IL,3,"In the last week, what was the total operating revenue for this business?",2,"$501 - $2,500",13.00%,1.02%
IL,3,"In the last week, what was the total operating revenue for this business?",3,"$2,501 - $5,000",11.20%,1.16%
IL,3,"In the last week, what was the total operating revenue for this business?",4,"$5,001 - $15,000",13.80%,0.92%
IL,3,"In the last week, what was the total operating revenue for this business?",5,"$15,001 - $50,000",15.20%,1.06%
IL,3,"In the last week, what was the total operating revenue for this business?",6,"$50,001 - $125,000",7.40%,1.08%
IL,3,"In the last week, what was the total operating revenue for this business?",7,"$125,001 - $200,000",2.20%,0.48%
IL,3,"In the last week, what was the total operating revenue for this business?",8,"$200,001 - $500,000",3.30%,0.47%
IL,3,"In the last week, what was the total operating revenue for this business?",9,"$500,001 or more",1.40%,0.54%
IL,3,"In the last week, what was the total operating revenue for this business?",10,Don't know,12.70%,1.07%
IL,4,"In the last week, did this business temporarily close any of its locations for at least one day?",1,Yes,36.40%,1.38%
IL,4,"In the last week, did this business temporarily close any of its locations for at least one day?",2,No,63.60%,1.38%
IL,5,"In the last week, did this business have a change in the number of paid employees?",1,"Yes, increased",5.20%,0.68%
IL,5,"In the last week, did this business have a change in the number of paid employees?",2,"Yes, decreased",22.20%,1.16%
IL,5,"In the last week, did this business have a change in the number of paid employees?",3,No,72.60%,1.15%
IL,6,"In the last week, did this business have a change in the total number of hours worked by paid employees?",1,"Yes, increased",6.20%,0.91%
IL,6,"In the last week, did this business have a change in the total number of hours worked by paid employees?",2,"Yes, decreased",45.50%,0.97%
IL,6,"In the last week, did this business have a change in the total number of hours worked by paid employees?",3,No,48.20%,0.63%
IL,7,"In the last week, did this business have disruptions in its supply chain?",1,Yes,42.50%,1.53%
IL,7,"In the last week, did this business have disruptions in its supply chain?",2,No,57.50%,1.53%
IL,8,"In the last week, did this business shift to the production of other goods or services?",1,Yes,7.60%,0.90%
IL,8,"In the last week, did this business shift to the production of other goods or services?",2,No,92.40%,0.90%
IL,9,"In the last week, did any of this business's locations adopt pickup/carry-out/delivery as their only means of providing goods and services to their customers?",1,Yes,15.20%,1.15%
IL,9,"In the last week, did any of this business's locations adopt pickup/carry-out/delivery as their only means of providing goods and services to their customers?",2,No,84.80%,1.15%
IL,10,How would you describe the current availability of cash on hand for this business?,1,1-7 days of business operations,7.80%,0.82%
IL,10,How would you describe the current availability of cash on hand for this business?,2,1-2 weeks of business operations,11.20%,0.73%
IL,10,How would you describe the current availability of cash on hand for this business?,3,3-4 weeks of business operations,17.60%,1.24%
IL,10,How would you describe the current availability of cash on hand for this business?,4,1-2 months of business operations,27.30%,1.80%
IL,10,How would you describe the current availability of cash on hand for this business?,5,3 or more months of business operations,17.90%,1.36%
IL,10,How would you describe the current availability of cash on hand for this business?,6,No cash available for business operations,6.30%,1.04%
