ST,INSTRUMENT_ID,QUESTION,ANSWER_ID,ANSWER_TEXT,ESTIMATE_PERCENTAGE,SE,Cluster
0,11,21,7,103,0.509,0.020099999999999996,2
0,12,10,1,12,0.075,0.008100000000000001,1
0,12,10,2,11,0.08900000000000001,0.0113,1
0,12,10,3,15,0.141,0.0086,1
0,12,10,4,10,0.23399999999999999,0.0189,1
0,12,10,5,14,0.27699999999999997,0.0131,1
0,12,10,6,100,0.037000000000000005,0.0059,1
0,12,10,7,46,0.147,0.015,1
0,13,54,2,94,0.08199999999999999,0.0124,0
0,13,54,3,83,0.599,0.020099999999999996,0
0,13,54,4,90,0.21100000000000002,0.0149,0
0,13,54,5,72,0.1,0.0067,0
0,14,7,1,75,0.095,0.0052,1
0,14,7,2,93,0.109,0.013500000000000002,2
0,14,7,3,82,0.718,0.0232,2
0,14,7,4,89,0.05,0.0105,1
0,14,7,5,71,0.028999999999999998,0.01,1
0,15,5,1,74,0.044000000000000004,0.005699999999999999,1
0,15,5,2,92,0.23800000000000002,0.0171,2
0,15,5,3,81,0.366,0.0128,1
0,15,5,4,88,0.22699999999999998,0.0181,2
0,15,5,5,70,0.124,0.013500000000000002,1
0,16,8,1,77,0.36,0.016200000000000003,2
0,16,8,2,95,0.387,0.021,2
0,16,8,3,84,0.231,0.022099999999999998,2
0,17,4,1,20,0.28800000000000003,0.016,1
0,17,4,2,36,0.24100000000000002,0.016,1
0,17,4,3,35,0.295,0.0172,1
0,17,4,4,68,0.138,0.0212,2
0,17,4,5,62,0.155,0.0091,1
0,17,4,6,64,0.122,0.013500000000000002,1
0,17,4,7,63,0.10400000000000001,0.0108,1
0,17,4,8,148,0.467,0.017,2
0,18,41,1,121,0.555,0.0212,0
0,18,41,2,47,0.12300000000000001,0.016,0
0,18,41,5,116,0.057,0.0051,0
0,18,41,6,117,0.040999999999999995,0.0046,0
0,18,41,7,152,0.41200000000000003,0.0219,0
0,19,32,1,159,0.348,0.0146,0
0,19,32,2,99,0.318,0.0123,0
0,19,32,3,107,0.335,0.0104,0
0,20,34,1,109,0.165,0.0143,0
0,20,34,2,57,0.222,0.0132,0
0,20,34,3,40,0.114,0.0125,0
0,20,34,4,65,0.282,0.0151,0
0,20,34,5,56,0.419,0.0171,0
0,20,34,6,87,0.152,0.0088,0
0,20,34,7,31,0.10099999999999999,0.0115,0
0,20,34,8,58,0.039,0.0098,0
0,20,34,9,125,0.055,0.0127,0
0,20,34,10,103,0.307,0.0166,0
0,21,37,2,13,0.03,0.0077,0
0,21,37,3,16,0.08800000000000001,0.0127,0
0,21,37,4,98,0.366,0.0163,0
0,21,37,5,55,0.14800000000000002,0.0113,0
0,21,37,6,157,0.018000000000000002,0.0059,0
0,21,37,7,139,0.19,0.0155,0
0,21,37,8,158,0.158,0.0084,0
0,1,39,1,78,0.512,0.013500000000000002,2
0,1,39,2,96,0.395,0.016399999999999998,2
0,1,39,3,85,0.065,0.0103,2
0,1,39,4,97,0.016,0.0039000000000000003,2
0,2,16,1,161,0.068,0.008,2
0,2,16,2,160,0.708,0.0149,2
0,2,16,3,99,0.225,0.012,2
0,3,31,1,0,0.198,0.012199999999999999,1
0,3,31,2,8,0.13,0.0102,1
0,3,31,3,3,0.11199999999999999,0.0116,1
0,3,31,4,5,0.138,0.0092,1
0,3,31,5,2,0.152,0.0106,1
0,3,31,6,6,0.07400000000000001,0.0108,1
0,3,31,7,1,0.022000000000000002,0.0048,1
0,3,31,8,4,0.033,0.004699999999999999,1
0,3,31,9,7,0.013999999999999999,0.0054,1
0,3,31,10,46,0.127,0.010700000000000001,1
0,4,28,1,159,0.364,0.0138,2
0,4,28,2,99,0.636,0.0138,2
0,5,18,1,161,0.052000000000000005,0.0068000000000000005,2
0,5,18,2,160,0.222,0.0116,2
0,5,18,3,99,0.726,0.0115,2
0,6,20,1,161,0.062,0.0091,2
0,6,20,2,160,0.455,0.0097,2
0,6,20,3,99,0.48200000000000004,0.0063,2
0,7,23,1,159,0.425,0.015300000000000001,2
0,7,23,2,99,0.575,0.015300000000000001,2
0,8,27,1,159,0.076,0.009000000000000001,2
0,8,27,2,99,0.924,0.009000000000000001,2
0,9,13,1,159,0.152,0.0115,2
0,9,13,2,99,0.848,0.0115,2
0,10,10,1,12,0.078,0.008199999999999999,1
0,10,10,2,11,0.11199999999999999,0.0073,1
0,10,10,3,15,0.17600000000000002,0.0124,1
0,10,10,4,10,0.273,0.018000000000000002,1
0,10,10,5,14,0.179,0.013600000000000001,1
0,10,10,6,100,0.063,0.0104,1
0,10,10,7,46,0.12,0.0092,1
0,11,45,1,159,0.086,0.009899999999999999,2
0,11,45,2,99,0.914,0.009899999999999999,0
0,12,47,1,159,0.213,0.015600000000000001,2
0,12,47,2,99,0.787,0.015600000000000001,0
0,13,50,1,120,0.7879999999999999,0.0121,0
0,13,50,2,47,0.28300000000000003,0.016,0
0,13,50,3,132,0.10800000000000001,0.011699999999999999,0
0,13,50,4,116,0.027000000000000003,0.0067,0
0,13,50,5,135,0.06,0.006500000000000001,0
0,13,50,6,29,0.07200000000000001,0.0074,0
0,13,50,7,133,0.113,0.0092,0
0,13,50,8,49,0.039,0.0032,0
0,13,50,9,115,0.028999999999999998,0.0053,0
0,13,50,10,156,0.154,0.0098,0
0,14,53,1,120,0.629,0.019299999999999998,0
0,14,53,2,47,0.12300000000000001,0.01,0
0,14,53,3,132,0.055999999999999994,0.0055000000000000005,0
0,14,53,4,116,0.018000000000000002,0.0024,0
0,14,53,5,149,0.313,0.018500000000000003,0
0,15,38,1,9,0.018000000000000002,0.0039000000000000003,0
0,15,38,2,13,0.209,0.0106,0
0,15,38,3,16,0.295,0.0116,0
0,15,38,4,98,0.336,0.0173,0
0,15,38,5,53,0.081,0.0068000000000000005,0
0,15,38,6,140,0.061,0.0086,0
0,2,40,1,78,0.255,0.0165,2
0,2,40,2,96,0.433,0.022000000000000002,2
0,2,40,3,85,0.237,0.021400000000000002,2
0,2,40,4,97,0.065,0.009000000000000001,2
0,2,40,5,79,0.01,0.0026,1
0,3,12,1,0,0.038,0.0073,1
0,3,12,2,8,0.023,0.0062,1
0,3,12,3,3,0.027000000000000003,0.0087,1
0,3,12,4,5,0.1,0.011200000000000002,1
0,3,12,5,2,0.185,0.011200000000000002,1
0,3,12,6,6,0.182,0.012,1
0,3,12,7,1,0.109,0.0127,1
0,3,12,8,4,0.13,0.0141,1
0,3,12,9,7,0.132,0.0102,1
0,3,12,10,46,0.073,0.011899999999999999,1
0,4,17,1,161,0.086,0.0169,2
0,4,17,2,160,0.2,0.0196,2
0,4,17,3,101,0.7140000000000001,0.025,2
0,5,14,3,124,0.02,0.0049,2
0,5,14,4,103,0.9740000000000001,0.0053,1
0,6,18,1,161,0.10800000000000001,0.0089,2
0,6,18,2,160,0.1,0.0095,2
0,6,18,3,101,0.792,0.013600000000000001,2
0,7,20,1,161,0.098,0.0124,2
0,7,20,2,160,0.136,0.013600000000000001,2
0,7,20,3,101,0.7659999999999999,0.0176,2
0,8,25,1,159,0.091,0.012199999999999999,2
0,8,25,2,99,0.768,0.0129,2
0,8,25,3,105,0.141,0.0163,2
0,9,26,1,159,0.07,0.0088,2
0,9,26,2,99,0.795,0.0158,2
0,9,26,3,105,0.135,0.0165,2
0,10,22,1,159,0.319,0.023,2
0,10,22,2,99,0.297,0.0169,2
0,10,22,3,104,0.38299999999999995,0.0207,2
0,11,21,1,45,0.42100000000000004,0.018500000000000003,2
0,11,21,2,52,0.156,0.009899999999999999,1
0,11,21,3,41,0.191,0.02,1
0,11,21,4,42,0.065,0.0063,1
0,11,21,5,130,0.113,0.0092,2
0,11,21,6,39,0.24600000000000002,0.0144,1
0,11,21,7,103,0.496,0.021,2
0,12,29,1,25,0.165,0.016,1
0,12,29,3,28,0.311,0.022400000000000003,1
0,12,29,4,103,0.5870000000000001,0.0222,2
0,13,10,1,12,0.073,0.011899999999999999,1
0,13,10,2,11,0.084,0.011200000000000002,1
0,13,10,3,15,0.156,0.0108,1
0,13,10,4,10,0.26,0.022099999999999998,1
0,13,10,5,14,0.257,0.0171,1
0,13,10,6,100,0.031,0.006999999999999999,1
0,13,10,7,46,0.139,0.0172,1
0,14,55,1,32,0.10800000000000001,0.0151,0
0,14,55,2,129,0.161,0.018500000000000003,0
0,14,55,3,37,0.12300000000000001,0.0116,0
0,14,55,4,66,0.054000000000000006,0.0108,0
0,14,55,5,69,0.028999999999999998,0.0048,0
0,14,55,6,145,0.252,0.0174,0
0,14,55,7,147,0.375,0.0215,0
0,15,2,1,75,0.015,0.0053,1
0,15,2,2,93,0.046,0.0072,1
0,15,2,3,82,0.845,0.01,1
0,15,2,4,89,0.06,0.0076,1
0,15,2,5,71,0.034,0.0063,1
0,16,0,1,74,0.049,0.0078000000000000005,1
0,16,0,2,92,0.312,0.016,2
0,16,0,3,81,0.436,0.019299999999999998,2
0,16,0,4,88,0.163,0.018799999999999997,2
0,16,0,5,70,0.04,0.0091,1
0,17,3,1,77,0.409,0.024300000000000002,2
0,17,3,2,95,0.363,0.020499999999999997,2
0,17,3,3,84,0.214,0.011899999999999999,1
0,18,35,1,19,0.121,0.012199999999999999,0
0,18,35,2,34,0.105,0.0086,0
0,18,35,3,33,0.17800000000000002,0.018000000000000002,0
0,18,35,4,67,0.126,0.0077,0
0,18,35,5,59,0.201,0.0154,0
0,18,35,6,61,0.11599999999999999,0.0121,0
0,18,35,7,60,0.114,0.013000000000000001,0
0,18,35,8,103,0.541,0.018799999999999997,0
0,19,32,1,159,0.342,0.013000000000000001,0
0,19,32,2,99,0.313,0.0184,0
0,19,32,3,107,0.345,0.024700000000000003,0
0,20,34,1,109,0.138,0.0123,0
0,20,34,2,57,0.226,0.0165,0
0,20,34,3,40,0.091,0.0076,0
0,20,34,4,65,0.253,0.015700000000000002,0
0,20,34,5,56,0.42,0.0151,0
0,20,34,6,87,0.182,0.0131,0
0,20,34,7,31,0.092,0.0147,0
0,20,34,8,58,0.048,0.0089,0
0,20,34,9,125,0.046,0.0096,0
0,20,34,10,103,0.327,0.0218,0
0,21,37,2,13,0.057,0.0072,0
0,21,37,3,16,0.073,0.013300000000000001,0
0,21,37,4,98,0.31,0.0182,0
0,21,37,5,55,0.128,0.0161,0
0,21,37,6,157,0.021,0.0064,0
0,21,37,7,139,0.157,0.0143,0
0,21,37,8,158,0.247,0.013000000000000001,0
0,2,40,1,78,0.331,0.0143,2
0,2,40,2,96,0.44,0.0161,2
0,2,40,3,85,0.154,0.0092,2
0,2,40,4,97,0.06,0.009000000000000001,2
0,2,40,5,79,0.013999999999999999,0.004,1
0,3,12,1,0,0.054000000000000006,0.0064,1
0,3,12,2,8,0.032,0.006,1
0,3,12,3,3,0.04,0.0044,1
0,3,12,4,5,0.107,0.0097,1
0,3,12,5,2,0.18600000000000003,0.0111,1
0,3,12,6,6,0.19699999999999998,0.009399999999999999,1
0,3,12,7,1,0.099,0.0091,1
0,3,12,8,4,0.099,0.0075,1
0,3,12,9,7,0.105,0.0073,1
0,3,12,10,46,0.08,0.0068000000000000005,1
0,4,17,1,161,0.055999999999999994,0.0086,2
0,4,17,2,160,0.445,0.015,2
0,4,17,3,101,0.499,0.016,2
0,5,14,2,137,0.031,0.0042,2
0,5,14,3,124,0.02,0.0062,2
0,5,14,4,103,0.945,0.0062,2
0,6,18,1,161,0.033,0.0070999999999999995,2
0,6,18,2,160,0.141,0.009000000000000001,2
0,6,18,3,101,0.826,0.0115,2
0,7,24,1,159,0.03,0.004,2
0,7,24,2,99,0.42100000000000004,0.022400000000000003,2
0,7,24,3,141,0.5489999999999999,0.0233,2
0,8,20,1,161,0.034,0.0054,2
0,8,20,2,160,0.27699999999999997,0.0146,2
0,8,20,3,101,0.6890000000000001,0.0161,2
0,9,19,1,161,0.028999999999999998,0.0067,2
0,9,19,2,160,0.03,0.0053,2
0,9,19,3,101,0.415,0.0155,2
0,9,19,4,142,0.526,0.011399999999999999,2
0,10,21,1,45,0.23600000000000002,0.011699999999999999,1
0,10,21,2,52,0.079,0.0064,1
0,10,21,3,41,0.086,0.008,1
0,10,21,4,42,0.027999999999999997,0.0048,1
0,10,21,5,130,0.061,0.0034000000000000002,2
0,10,21,6,39,0.183,0.0132,1
0,10,21,7,103,0.6859999999999999,0.012,2
0,11,30,1,18,0.057,0.0063,1
0,11,30,2,26,0.107,0.016399999999999998,1
0,11,30,3,17,0.033,0.0073,1
0,11,30,4,128,0.106,0.0109,2
0,11,30,5,127,0.185,0.0096,2
0,11,30,6,24,0.040999999999999995,0.0046,1
0,11,30,7,27,0.10300000000000001,0.0075,1
0,11,30,8,103,0.648,0.0171,0
0,12,11,1,113,0.01,0.0034000000000000002,2
0,12,11,2,114,0.049,0.006,2
0,12,11,3,102,0.434,0.022400000000000003,2
0,12,11,4,112,0.316,0.015,2
0,12,11,5,111,0.191,0.0137,2
0,13,9,1,12,0.067,0.0097,1
0,13,9,2,11,0.079,0.0058,1
0,13,9,3,15,0.174,0.0108,1
0,13,9,4,10,0.255,0.0138,1
0,13,9,5,14,0.207,0.0066,1
0,13,9,6,100,0.040999999999999995,0.0055000000000000005,1
0,13,9,7,46,0.177,0.0177,1
0,14,46,1,159,0.033,0.0069,0
0,14,46,2,99,0.9670000000000001,0.0069,0
0,15,48,1,159,0.11699999999999999,0.0095,0
0,15,48,2,99,0.883,0.0095,0
0,16,50,1,120,0.778,0.0215,0
0,16,50,2,47,0.24100000000000002,0.018600000000000002,0
0,16,50,3,134,0.159,0.008,0
0,16,50,4,86,0.009000000000000001,0.0034000000000000002,0
0,16,50,5,38,0.011000000000000001,0.0029,0
0,16,50,6,51,0.054000000000000006,0.0083,0
0,16,50,7,50,0.013000000000000001,0.0034000000000000002,0
0,16,50,8,116,0.018000000000000002,0.0034999999999999996,0
0,16,50,9,136,0.08800000000000001,0.0108,0
0,16,50,10,29,0.08900000000000001,0.0113,0
0,16,50,11,133,0.132,0.0118,0
0,16,50,12,49,0.042,0.0083,0
0,16,50,13,117,0.039,0.0074,0
0,16,50,14,155,0.156,0.013500000000000002,0
0,17,49,1,120,0.77,0.021400000000000002,0
0,17,49,2,47,0.215,0.0169,0
0,17,49,3,132,0.106,0.0072,0
0,17,49,5,38,0.015,0.0024,0
0,17,49,6,51,0.049,0.0087,0
0,17,49,8,116,0.025,0.0036,0
0,17,49,9,155,0.19399999999999998,0.0225,0
0,18,44,1,159,0.268,0.0165,0
0,18,44,2,99,0.271,0.0123,0
0,18,44,3,143,0.461,0.0125,0
0,19,34,1,109,0.35,0.0165,0
0,19,34,2,57,0.106,0.0087,0
0,19,34,3,40,0.147,0.0077,0
0,19,34,4,65,0.341,0.013600000000000001,0
0,19,34,5,80,0.133,0.0152,0
0,19,34,6,56,0.22399999999999998,0.0149,0
0,19,34,7,125,0.049,0.005600000000000001,0
0,19,34,8,103,0.325,0.0212,0
0,20,36,2,13,0.035,0.0059,0
0,20,36,3,16,0.177,0.0118,0
0,20,36,4,98,0.469,0.0159,0
0,20,36,5,55,0.081,0.0106,0
0,20,36,6,157,0.02,0.0042,0
0,20,36,7,139,0.136,0.0069,0
0,20,36,8,158,0.076,0.0091,0
0,2,40,1,78,0.32899999999999996,0.0192,2
0,2,40,2,96,0.466,0.021099999999999997,2
0,2,40,3,85,0.153,0.014499999999999999,2
0,2,40,4,97,0.037000000000000005,0.0067,2
0,2,40,5,79,0.015,0.0039000000000000003,1
0,3,12,1,0,0.039,0.004699999999999999,1
0,3,12,2,8,0.024,0.0067,1
0,3,12,3,3,0.052000000000000005,0.0096,1
0,3,12,4,5,0.09699999999999999,0.0108,1
0,3,12,5,2,0.165,0.0105,1
0,3,12,6,6,0.182,0.013300000000000001,1
0,3,12,7,1,0.106,0.0152,1
0,3,12,8,4,0.121,0.0137,1
0,3,12,9,7,0.121,0.013000000000000001,1
0,3,12,10,46,0.095,0.009000000000000001,1
0,4,17,1,161,0.065,0.0059,2
0,4,17,2,160,0.305,0.015,2
0,4,17,3,101,0.63,0.0148,2
0,5,14,2,137,0.01,0.0029,2
0,5,14,3,124,0.015,0.0044,2
0,5,14,4,103,0.972,0.0037,1
0,6,18,1,161,0.046,0.0069,2
0,6,18,2,160,0.10400000000000001,0.0113,2
0,6,18,3,101,0.851,0.013999999999999999,2
0,7,24,1,159,0.038,0.0076,2
0,7,24,2,99,0.406,0.011699999999999999,2
0,7,24,3,141,0.556,0.0159,2
0,8,20,1,161,0.055999999999999994,0.0095,2
0,8,20,2,160,0.162,0.0105,2
0,8,20,3,101,0.782,0.0138,2
0,9,19,1,161,0.027999999999999997,0.006,2
0,9,19,2,160,0.032,0.0059,2
0,9,19,3,101,0.418,0.0159,2
0,9,19,4,142,0.522,0.0181,2
0,10,21,1,45,0.23399999999999999,0.0138,1
0,10,21,2,52,0.071,0.008100000000000001,1
0,10,21,3,41,0.096,0.0087,1
0,10,21,4,42,0.025,0.0059,1
0,10,21,5,130,0.062,0.0052,2
0,10,21,6,39,0.139,0.0066,1
0,10,21,7,103,0.698,0.0103,1
0,11,30,1,18,0.051,0.0069,1
0,11,30,2,26,0.1,0.0111,1
0,11,30,3,17,0.037000000000000005,0.005600000000000001,1
0,11,30,4,128,0.102,0.0105,2
0,11,30,5,127,0.201,0.0144,2
0,11,30,6,24,0.054000000000000006,0.0066,1
0,11,30,7,27,0.09699999999999999,0.0084,1
0,11,30,8,103,0.648,0.0105,0
0,12,11,1,113,0.016,0.0040999999999999995,2
0,12,11,2,114,0.05,0.0067,2
0,12,11,3,102,0.419,0.0137,2
0,12,11,4,112,0.342,0.0167,2
0,12,11,5,111,0.17300000000000001,0.0103,2
0,13,9,1,12,0.048,0.0055000000000000005,1
0,13,9,2,11,0.08199999999999999,0.0074,1
0,13,9,3,15,0.135,0.0106,1
0,13,9,4,10,0.28800000000000003,0.011899999999999999,1
0,13,9,5,14,0.23800000000000002,0.0125,1
0,13,9,6,100,0.04,0.0096,1
0,13,9,7,46,0.17,0.012199999999999999,1
0,14,46,1,159,0.028999999999999998,0.0059,0
0,14,46,2,99,0.971,0.0059,0
0,15,48,1,159,0.1,0.0106,0
0,15,48,2,99,0.9,0.0106,0
0,16,50,1,120,0.778,0.0115,0
0,16,50,2,47,0.231,0.010700000000000001,0
0,16,50,3,134,0.142,0.0097,0
0,16,50,5,38,0.013999999999999999,0.0026,0
0,16,50,6,51,0.034,0.0058,0
0,16,50,8,116,0.027000000000000003,0.0045000000000000005,0
0,16,50,9,136,0.07,0.009300000000000001,0
0,16,50,10,29,0.068,0.0074,0
0,16,50,11,133,0.10800000000000001,0.0097,0
0,16,50,12,49,0.032,0.0060999999999999995,0
0,16,50,13,117,0.023,0.0052,0
0,16,50,14,155,0.151,0.0064,0
0,17,49,1,120,0.769,0.0115,0
0,17,49,2,47,0.201,0.0141,0
0,17,49,3,132,0.078,0.008199999999999999,0
0,17,49,5,38,0.012,0.0043,0
0,17,49,6,51,0.042,0.005699999999999999,0
0,17,49,8,116,0.034,0.0069,0
0,17,49,9,155,0.18600000000000003,0.009899999999999999,0
0,18,44,1,159,0.27,0.011200000000000002,0
0,18,44,2,99,0.314,0.0144,0
0,18,44,3,143,0.41600000000000004,0.016200000000000003,0
0,19,34,1,109,0.254,0.011899999999999999,0
0,19,34,2,57,0.109,0.0123,0
0,19,34,3,40,0.128,0.0088,0
0,19,34,4,65,0.345,0.0146,0
0,19,34,5,80,0.155,0.011699999999999999,0
0,19,34,6,56,0.201,0.012,0
0,19,34,7,125,0.049,0.0075,0
0,19,34,8,103,0.368,0.0141,0
0,20,36,2,13,0.034,0.006500000000000001,0
0,20,36,3,16,0.138,0.0113,0
0,20,36,4,98,0.517,0.0209,0
0,20,36,5,55,0.064,0.0088,0
0,20,36,6,157,0.009000000000000001,0.0029,0
0,20,36,7,139,0.139,0.0106,0
0,20,36,8,158,0.09699999999999999,0.0083,0
0,2,40,1,78,0.252,0.0223,2
0,2,40,2,96,0.45899999999999996,0.013500000000000002,2
0,2,40,3,85,0.21899999999999997,0.021,2
0,2,40,4,97,0.057,0.008100000000000001,2
0,2,40,5,79,0.012,0.0043,1
0,3,12,1,0,0.037000000000000005,0.0121,1
0,3,12,2,8,0.021,0.0062,1
0,3,12,3,3,0.025,0.0042,1
0,3,12,4,5,0.092,0.009300000000000001,1
0,3,12,5,2,0.191,0.019299999999999998,1
0,3,12,6,6,0.2,0.0212,1
0,3,12,7,1,0.128,0.0177,1
0,3,12,8,4,0.111,0.0098,1
0,3,12,9,7,0.126,0.0113,1
0,3,12,10,46,0.07,0.0083,1
0,4,17,1,161,0.07,0.0087,2
0,4,17,2,160,0.24,0.0131,2
0,4,17,3,101,0.69,0.013999999999999999,2
0,5,14,3,124,0.022000000000000002,0.006500000000000001,2
0,5,14,4,103,0.972,0.0077,2
